Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
130034,骆驼峰组,Luotuofeng Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,流纹岩,凝灰岩,变流纹岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130035,麻子山组,Mazishan Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,砾岩,片岩,绿片岩,石英岩,变粒岩,黑云变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130036,孟家屯(岩)组,Mengjiatun Fm,Ar3,,,shandong,,,,,,,,,,,,,,,长石石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130037,苗家(岩)组,Miaojia Fm,Ar3,,,shandong,,,,,,,,,,,,,,,变粒岩,角闪斜长变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130038,磨河组,Mohe Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,砂岩,粉砂岩,片岩,千枚岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130039,木山岭组,Mushanling Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,长石石英岩,板岩,千枚岩,大理岩,石英大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130040,南大贤组,Nandaxian Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130041,南台亚群,Nantai Sub-Gr,Ar3,,,shanxi,,,,,,,,,,,,,,,砾岩,长石石英岩,变质砾岩,板岩,千枚岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130042,牛还(岩)组,Niuhuan Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,石英岩,磁铁石英岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130043,盘道岭组,Pandaoling Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,白云岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130044,跑泉厂组,Paoquanchang Fm,Ar3,,,hebei,shanxi,,,,,,,,,,,,,,片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,石英岩,磁铁石英岩,铁英岩,浅粒岩,变粒岩,黑云变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130045,平头岭组,Pingtouling Fm,Ar3,南天门石英岩,,shanxi,,,,,,,,,,,,,,,片岩,片麻岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130046,齐山(岩)组,Qishan Fm,Ar3,,,,,,,,,,,,,,,,,,片岩,变粒岩,黑云变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
